Key;English;Russian
Game.IntroScene.1;The memories of youth either fade completely or come back bright and vivid - first the childish perception, and then the extra details one learned later.;Воспоминания о юности пропадут или возвратяться в новом свете. Сначала наивные, а потом понятные только взрослому подробности.
Game.IntroScene.2;Catch the snippets of the story and don’t let them fade to learn the story fully and then learn it deeper.;Сохрани воспоминания. Не позволяй им исчезнуть. И ты узнаешь всю историю, взглянув на нее с высоты прожитых лет.

Game.FirstMessage;Tap on picture to open next memory. Tap on damaged picture to refresh them;Тапай по картинке, чтобы открыть следующий эпизод. Поврежденная карточка при тапе восстанавливается.
Game.LostMemory;That memory is gone forever.;Утерянное навсегда воспоминание.
Game.Story.0;In January the royal family welcomed the little princess Anna. Winter sun merrily reflected on the frosting on the windows, the gold crib and the baby’s golden curls.;В январе в королевской семье родилась маленькая принцесса Анна. Зимнее солнце весело искрилось на морозных узорах на окнах, золотой колыбели и золотых кудрях младенца.
Game.Story.1;Ambassadors from other kingdoms arrived, bearing presents. Silks, jewelry and a cage with a rare bright bird. The bird proceeded to peck at the King's finger.;Послы соседних королевств привезли подарки в честь рождения Анны. Яркие шелка, украшения, серебряные погремушки и клетку с удивительной яркой птицей. Птица тут же клюнула Короля за палец.
Game.Story.2;During a thunderstorm a lightning hit an old tower and it burned to the ground. Prince Eric, Anna’s brother, cried because he was scared, Anna cried because she liked to play hide and seek in that tower.;Во время ночной грозы молния попала в старую башню замка и спалила ее дотла. Принц Эрик плакал, потому что испугался, принцесса Анна плакала, потому что она любила играть там в прятки.
Game.Story.3;Prince Eric was taught archery and he’s taught his sister to shoot! Princess Anna thinks shooting arrows at a straw dummy in the courtyard is much more fun that embroidering.;Принца Эрика научили стрелять из лука, а он научил стрелять сестру! Принцесса Анна решила, что стрелять в соломенное чучело во дворе интереснее вышивания.
Game.Story.4;Merchants say the Northern princess met a talking toad and the toad turned the princess into a frog! Princess Anna is banned from talking to strange toads.;Купцы рассказали, что в северном королевстве принцесса заговорила с жабой, и та превратила принцессу в лягушку! Принцессе запрещено разговаривать с незнакомыми жабами!
Game.Story.5;The royal family and the court go to a hunt: a merchant saw a deer with golden horns in the forest! Big striped tents were pitched on the meadow, hunters scoured the forest, but no luck with the deer.;Королевская семья и двор едут на охоту: купец видел в лесу оленя с золотыми рогами! На поляне разбили полосатые шатры, охотники прочесывали лес, но олень так и не попался.
Game.Story.6;The harvest is over in the kingdom, it’s time for the Autumn ball in the castle! Princess Anna needs new dresses with fashionable long sleeves!;Урожай в королевстве собран, в замке будет осенний бал! Принцессе срочно нужны несколько новых платьев с модными длинными рукавами!
Game.Story.7;Prince Philip from the neighboring kingdom has visited again. The prince looks good in his blue coat and dances well: he stepped on the Princess’ fashionable long sleeve only twice!;Из соседнего королевства снова приехал принц Филипп. Принц в элегантном синем камзоле под цвет глаз и хорошо танцует: всего два раза наступил принцессе на модный длинный рукав!
Game.Story.8;Prince Philip’s sent a messenger again. He writes of a ball game in the castle, which resulted in two broken windows and the housekeeper’s frayed nerves. Also he wishes the Princess a merry Christmas.;Принц прислал гонца с письмом. Филипп играл замковом дворе в недавно изобретенную игру в мяч. Разбили два окна и сердце кастеляну. Поздравляет принцессу с Рождеством.
Game.Story.9;The princess is in traineeship again. The Queen insists that tariff negotiations with river merchants is a delicate art. Mentioning the range of the royal archers’ long bows right in the beginning is a big no-no.;У принцессы снова учебная практика. Королева говорит, что переговоры о тарифах с речными торговцами - деликатное искусство. Упоминать дальнобойность наших лучников сразу - не надо.
Game.Story.10;Some merchant spreads the rumor the Princess’ wedding dress is going to be green. Green! Some people have no shame: spreading such nasty lies!;Какой-то купец рассказывает, что свадебное платье принцессы будет зеленым. Зеленым! Как только язык повернулся болтать такие гадости.
Game.Story.11;Prince Philip and Princess Anna’s wedding has been gorgeous! Celebratory bell ringing made seven crows fall out of the sky concussed, which was deemed a good omen after some deliberation.;Венчание принца Филиппа и принцессы Анны поразило всех своим великолепием! Праздничным колокольным звоном контузило семь ворон, все сошлись во мнении, что это добрый знак.
Game.Story.12;Not fair! The Princess has to learn the geography of the northern provinces, while the prince evaded that altogether to lead troops to the mountains to deal with the highwaymen gang there?!;Так нечестно! Почему принцессе надо учить географию северных провинций, когда принц с отрядом, поехал в горы, ловить разбойников?!
Game.Story.13;Merchants say the highwaymen in the mountain have enormous teeth! How, pray tell, the Princess is supposed to greet ambassadors, when she’s beyond herself with worry?!;Купцы рассказывают, что разбойники в горах с вот такенными зубами! И как, спрашивается, принцессе принимать послов, когда от страха все из рук валится?
